DCA 1,DCA 2,DCA 3,DCA 4,DCA 5,DCA 6,DCA 7,DCA 8
ENSEMBLE,,,,,,,
NARRATOR VO,,,,,,,
BELLE,,,,,,,
BELLE,BAKER,,,,,,
BELLE,,,,,,,
BELLE,"BUCKLEY, TJ",,,,,,
BELLE,ENSEMBLE,,,,,,
GASTON,LEFOU,SILLY GIRLS (3),ENSEMBLE,BELLE,,,
GASTON,LEFOU,,,BELLE,MAURICE,,
,,,,BELLE,MAURICE,,
,,,,BELLE,MAURICE,,
MAURICE,COGSWORTH,LUMIERE,,,,CASTLE VERB,
MAURICE,COGSWORTH,LUMIERE,BABETTE--AUDREY,POTTS,CHIP,CASTLE VERB,
MAURICE,COGSWORTH,LUMIERE,BEAST,POTTS,CHIP,CASTLE VERB,
MAURICE,COGSWORTH,LUMIERE,BEAST,POTTS,CHIP,CASTLE VERB,
GASTON,SILLY GIRLS (3),BELLE,,,,,
GASTON,,BELLE,,,,,
GASTON,SILLY GIRLS (3),,,,,,
BELLE,,,,,,,
BELLE,LEFOU,,,,,,
COGSWORTH,LUMIERE,BELLE,,,,CASTLE VERB,
,,,POTTS,CHIP,BABETTE--AUDREY,CASTLE VERB,
LUMIERE,COGSWORTH,,,,,CASTLE VERB,
,,BELLE,MAURICE,BEAST,,CASTLE VERB,
LUMIERE,,BELLE,,BEAST,,CASTLE VERB,
,,BELLE,,,,,
,,BELLE,POTTS,MADAME DE GRANDE BOUCHE,,,
GASTON,LEFOU,,,,,,
GASTON,LEFOU,ENSEMBLE,,,,,
GASTON,LEFOU,ENSEMBLE,MAURICE,,,,
GASTON,LEFOU,,,,,,
POTTS,COGSWORTH,LUMIERE,BEAST,BELLE,,,
POTTS,COGSWORTH,LUMIERE,BEAST,BELLE,MADAME DE GRANDE BOUCHE,,
POTTS,COGSWORTH,LUMIERE,BEAST,BELLE,MADAME DE GRANDE BOUCHE,,
,,LUMIERE,,,,BABETTE--AUDREY,
,,,,BELLE,MADAME DE GRANDE BOUCHE,,
LUMIERE,CHIP,ENSEMBLE,,,,,
LUMIERE,POTTS,ENSEMBLE,,BABETTE--AUDREY,COGSWORTH,,
LUMIERE,POTTS,ENSEMBLE,,BABETTE--AUDREY,COGSWORTH,,
LUMIERE,POTTS,BELLE,,,COGSWORTH,BEAST,
LUMIERE,POTTS,BELLE,,,COGSWORTH,BEAST,
,,BELLE,,,,BEAST,
,,,,,,BEAST,
,,,,,,,
BEAST,BELLE,POTTS,LUMIERE,COGSWORTH,,,
BEAST,BELLE,POTTS,LUMIERE,COGSWORTH,,,
BEAST,BELLE,POTTS,LUMIERE,COGSWORTH,CHIP,,
BEAST,BELLE,,LUMIERE,COGSWORTH,,,
BEAST,BELLE,,LUMIERE,COGSWORTH,,,
BEAST,BELLE,POTTS,LUMIERE,COGSWORTH,CHIP,,
BEAST,BELLE,POTTS,LUMIERE,COGSWORTH,CHIP,,
BEAST,BELLE,POTTS,LUMIERE,COGSWORTH,CHIP,,
BABETTE--AUDREY,,POTTS,LUMIERE,COGSWORTH,CHIP,MADAME DE GRANDE BOUCHE,
BELLE,BEAST,,,,,,
BELLE,BEAST,,ENSEMBLE,,,,
GASTON,LEFOU,DARQUE,,,,,
,,,,,,,
BEAST,LUMIERE,COGSWORTH,,,,,
BEAST,LUMIERE,COGSWORTH,BELLE,POTTS,,,
BEAST,LUMIERE,COGSWORTH,BELLE,POTTS,,,
BEAST,LUMIERE,COGSWORTH,BELLE,POTTS,,,
BEAST,LUMIERE,COGSWORTH,BELLE,POTTS,,,
BEAST,LUMIERE,COGSWORTH,BELLE,POTTS,,,
BELLE,MAURICE,,,,,,
BELLE,MAURICE,,,,,,
BELLE,MAURICE,DARQUE,LEFOU,,GASTON,,
BELLE,MAURICE,DARQUE,LEFOU,,GASTON,ENSEMBLE,
GASTON,LEFOU,OBJECTS,ENSEMBLE,BEAST,,,
GASTON,LEFOU,OBJECTS,ENSEMBLE,BEAST,,CASTLE VERB,
GASTON,BEAST,BELLE,,,,CASTLE VERB,
,BEAST,BELLE,,,,,
,BEAST,BELLE,,,,,
BEAST,BELLE,POTTS,COGSWORTH,LUMIERE,BABETTE--AUDREY,CHIP,
BEAST,BELLE,POTTS,COGSWORTH,LUMIERE,BABETTE--AUDREY,CHIP,
BEAST,BELLE,POTTS,COGSWORTH,LUMIERE,BABETTE--AUDREY,CHIP,
BEAST,BELLE,POTTS,COGSWORTH,LUMIERE,BABETTE--AUDREY,CHIP,
BEAST,BELLE,POTTS,COGSWORTH,LUMIERE,BABETTE--AUDREY,CHIP,
MADAME DE GRANDE BOUCHE,BELLE,POTTS,COGSWORTH,LUMIERE,BABETTE--AUDREY,CHIP,
MADAME DE GRANDE BOUCHE,BELLE,POTTS,COGSWORTH,LUMIERE,BABETTE--AUDREY,CHIP,
BEAST,BELLE,ENSEMBLE,,,,,
BEAST,BELLE,ENSEMBLE,,,,,
BEAST,BELLE,ENSEMBLE,,,,,
